0.00,0.00,373.89,320.10,37.50,12.50,375.28,320.53,49.49,48.46,377.19,322.38,50.07,50.26,379.08,324.28,51.09,53.03,381.03,326.32,38.18,15.58,382.48,326.92,48.05,39.85,384.30,328.40,41.01,53.10,385.87,330.43,43.11,49.03,387.49,332.29,60.00,50.31,389.76,334.20,58.12,49.85,391.99,336.09,40.34,50.25,393.53,338.00,44.50,49.20,395.21,339.87,42.65,52.71,396.85,341.87,51.09,39.98,398.74,343.43,68.19,29.13,401.38,344.50,36.26,53.08,402.74,346.52,49.79,49.26,404.65,348.39,37.12,50.16,406.05,350.30,52.03,49.97,408.01,352.20,62.42,50.00,410.39,354.10,50.00,50.00,412.30,356.00,37.68,50.03,413.74,357.90,47.21,49.82,415.50,359.79,74.45,50.92,418.33,361.73,54.41,39.49,420.42,363.24,50.86,37.13,422.35,364.65,31.95,36.54,423.59,366.04,27.59,45.42,424.61,367.75,58.79,52.77,426.83,369.76,42.90,41.44,428.51,371.35,23.98,42.35
0.00,0.00,391.99,336.09,40.34,50.25,393.53,338.00,44.50,49.20,395.21,339.87,42.65,52.71,396.85,341.87,51.09,39.98,398.74,343.43,68.19,29.13,401.38,344.50,36.26,53.08,402.74,346.52,49.79,49.26,404.65,348.39,37.12,50.16,406.05,350.30,52.03,49.97,408.01,352.20,62.42,50.00,410.39,354.10,50.00,50.00,412.30,356.00,37.68,50.03,413.74,357.90,47.21,49.82,415.50,359.79,74.45,50.92,418.33,361.73,54.41,39.49,420.42,363.24,50.86,37.13,422.35,364.65,31.95,36.54,423.59,366.04,27.59,45.42,424.61,367.75,58.79,52.77,426.83,369.76,42.90,41.44,428.51,371.35,23.98,42.35,429.40,372.94,52.65,52.48,431.37,374.93,59.04,46.71,433.63,376.71,81.61,60.57,436.66,378.98,77.77,69.44,439.74,381.66,11.91,51.61,440.13,383.59,52.98,80.07,442.17,386.62,36.71,87.40,443.55,389.94,51.38,71.62,445.50,392.70,49.32,50.84,447.39,394.60,37.50,87.50
0.00,0.00,410.39,354.10,50.00,50.00,412.30,356.00,37.68,50.03,413.74,357.90,47.21,49.82,415.50,359.79,74.45,50.92,418.33,361.73,54.41,39.49,420.42,363.24,50.86,37.13,422.35,364.65,31.95,36.54,423.59,366.04,27.59,45.42,424.61,367.75,58.79,52.77,426.83,369.76,42.90,41.44,428.51,371.35,23.98,42.35,429.40,372.94,52.65,52.48,431.37,374.93,59.04,46.71,433.63,376.71,81.61,60.57,436.66,378.98,77.77,69.44,439.74,381.66,11.91,51.61,440.13,383.59,52.98,80.07,442.17,386.62,36.71,87.40,443.55,389.94,51.38,71.62,445.50,392.70,49.32,50.84,447.39,394.60,37.50,87.50,448.81,397.93,49.19,75.15,450.66,400.77,52.22,88.21,452.67,404.14,24.78,54.38,453.60,406.23,56.79,57.31,455.74,408.38,53.39,74.67,457.78,411.22,59.33,66.79,460.02,413.77,53.67,59.41,462.08,416.02,58.06,73.10,464.27,418.79,55.33,64.66,466.39,421.26,56.25,79.83
0.00,0.00,428.51,371.35,23.98,42.35,429.40,372.94,52.65,52.48,431.37,374.93,59.04,46.71,433.63,376.71,81.61,60.57,436.66,378.98,77.77,69.44,439.74,381.66,11.91,51.61,440.13,383.59,52.98,80.07,442.17,386.62,36.71,87.40,443.55,389.94,51.38,71.62,445.50,392.70,49.32,50.84,447.39,394.60,37.50,87.50,448.81,397.93,49.19,75.15,450.66,400.77,52.22,88.21,452.67,404.14,24.78,54.38,453.60,406.23,56.79,57.31,455.74,408.38,53.39,74.67,457.78,411.22,59.33,66.79,460.02,413.77,53.67,59.41,462.08,416.02,58.06,73.10,464.27,418.79,55.33,64.66,466.39,421.26,56.25,79.83,468.51,424.26,57.19,62.62,470.70,426.72,54.40,19.55,472.75,427.44,58.98,50.73,475.01,429.34,52.70,57.97,476.99,431.57,60.55,33.16,479.31,432.84,51.30,42.70,481.24,434.43,61.74,63.07,483.61,436.84,50.34,64.75,485.50,439.26,62.42,86.97,487.89,442.60,50.00,62.50
0.00,0.00,447.39,394.60,37.50,87.50,448.81,397.93,49.19,75.15,450.66,400.77,52.22,88.21,452.67,404.14,24.78,54.38,453.60,406.23,56.79,57.31,455.74,408.38,53.39,74.67,457.78,411.22,59.33,66.79,460.02,413.77,53.67,59.41,462.08,416.02,58.06,73.10,464.27,418.79,55.33,64.66,466.39,421.26,56.25,79.83,468.51,424.26,57.19,62.62,470.70,426.72,54.40,19.55,472.75,427.44,58.98,50.73,475.01,429.34,52.70,57.97,476.99,431.57,60.55,33.16,479.31,432.84,51.30,42.70,481.24,434.43,61.74,63.07,483.61,436.84,50.34,64.75,485.50,439.26,62.42,86.97,487.89,442.60,50.00,62.50,489.78,444.94,62.30,88.83,492.15,448.37,51.12,16.60,494.10,449.01,50.13,43.51,496.01,450.64,47.26,50.37,497.79,452.55,72.75,68.69,500.54,455.13,55.27,77.14,502.66,458.07,66.44,73.49,505.16,460.86,67.80,78.60,507.75,463.85,71.11,58.30,510.44,466.10,60.74,60.13
0.00,0.00,466.39,421.26,56.25,79.83,468.51,424.26,57.19,62.62,470.70,426.72,54.40,19.55,472.75,427.44,58.98,50.73,475.01,429.34,52.70,57.97,476.99,431.57,60.55,33.16,479.31,432.84,51.30,42.70,481.24,434.43,61.74,63.07,483.61,436.84,50.34,64.75,485.50,439.26,62.42,86.97,487.89,442.60,50.00,62.50,489.78,444.94,62.30,88.83,492.15,448.37,51.12,16.60,494.10,449.01,50.13,43.51,496.01,450.64,47.26,50.37,497.79,452.55,72.75,68.69,500.54,455.13,55.27,77.14,502.66,458.07,66.44,73.49,505.16,460.86,67.80,78.60,507.75,463.85,71.11,58.30,510.44,466.10,60.74,60.13,512.78,468.35,61.63,77.89,515.08,471.31,64.21,75.58,517.57,474.18,63.79,69.24,519.93,476.84,73.89,39.87,522.82,478.38,23.11,25.71,523.66,479.34,53.90,39.66,525.71,480.85,49.13,35.35,527.58,482.21,50.17,25.24,529.49,483.16,49.98,38.10,531.39,484.60,50.00,37.50
0.00,0.00,487.89,442.60,50.00,62.50,489.78,444.94,62.30,88.83,492.15,448.37,51.12,16.60,494.10,449.01,50.13,43.51,496.01,450.64,47.26,50.37,497.79,452.55,72.75,68.69,500.54,455.13,55.27,77.14,502.66,458.07,66.44,73.49,505.16,460.86,67.80,78.60,507.75,463.85,71.11,58.30,510.44,466.10,60.74,60.13,512.78,468.35,61.63,77.89,515.08,471.31,64.21,75.58,517.57,474.18,63.79,69.24,519.93,476.84,73.89,39.87,522.82,478.38,23.11,25.71,523.66,479.34,53.90,39.66,525.71,480.85,49.13,35.35,527.58,482.21,50.17,25.24,529.49,483.16,49.98,38.10,531.39,484.60,50.00,37.50,533.29,486.04,49.95,25.02,535.18,486.98,50.32,36.41,537.10,488.36,48.36,37.73,538.92,489.79,63.78,38.43,541.36,491.26,38.63,27.65,542.83,492.32,68.22,24.60,545.40,493.25,48.22,23.59,547.27,494.15,59.61,33.87,549.49,495.42,63.98,32.15,551.96,496.66,54.10,21.83
0.00,0.00,510.44,466.10,60.74,60.13,512.78,468.35,61.63,77.89,515.08,471.31,64.21,75.58,517.57,474.18,63.79,69.24,519.93,476.84,73.89,39.87,522.82,478.38,23.11,25.71,523.66,479.34,53.90,39.66,525.71,480.85,49.13,35.35,527.58,482.21,50.17,25.24,529.49,483.16,49.98,38.10,531.39,484.60,50.00,37.50,533.29,486.04,49.95,25.02,535.18,486.98,50.32,36.41,537.10,488.36,48.36,37.73,538.92,489.79,63.78,38.43,541.36,491.26,38.63,27.65,542.83,492.32,68.22,24.60,545.40,493.25,48.22,23.59,547.27,494.15,59.61,33.87,549.49,495.42,63.98,32.15,551.96,496.66,54.10,21.83,553.99,497.49,57.76,32.05,556.20,498.69,54.34,34.23,558.25,500.01,58.68,22.39,560.50,500.86,54.13,28.79,562.53,501.94,80.57,38.62,565.57,503.40,87.90,37.19,568.93,504.83,87.41,37.69,572.21,506.23,87.52,37.18,575.61,507.69,87.50,38.05,578.89,509.10,87.50,50.00
1.00,0.00,85.55,465.65,12.50,-25.00,86.01,464.68,49.19,-24.83,87.94,463.70,50.40,-26.31,89.90,462.66,50.07,11.49,91.85,463.11,48.83,-9.85,93.74,462.74,71.99,-13.34,96.54,462.22,78.01,-12.48,99.59,461.73,51.85,-11.46,101.61,461.29,67.75,-17.05,104.24,460.61,89.99,22.66,107.75,461.49,64.14,-13.20,110.25,461.00,90.89,-18.33,113.78,460.27,91.48,-14.39,117.35,459.71,98.91,8.75,121.20,460.04,74.63,-12.19,124.13,459.59,66.55,-18.48,126.72,458.86,22.71,-24.03,127.64,457.94,9.92,-45.51,128.01,456.16,23.05,-12.23,128.91,455.66,54.10,-16.53,130.98,455.04,101.90,-37.81,134.95,453.56,92.21,-15.68,138.55,452.94,93.15,-16.69,142.17,452.30,95.21,-28.10,145.89,451.20,91.96,-18.30,149.46,450.48,95.13,-18.11,153.18,449.79,95.04,-16.36,156.87,449.13,80.50,-7.14,160.06,448.88,20.01,-16.08,160.82,448.22,40.78,6.10,162.41,448.49,36.71,-20.02
1.00,0.00,107.75,461.49,64.14,-13.20,110.25,461.00,90.89,-18.33,113.78,460.27,91.48,-14.39,117.35,459.71,98.91,8.75,121.20,460.04,74.63,-12.19,124.13,459.59,66.55,-18.48,126.72,458.86,22.71,-24.03,127.64,457.94,9.92,-45.51,128.01,456.16,23.05,-12.23,128.91,455.66,54.10,-16.53,130.98,455.04,101.90,-37.81,134.95,453.56,92.21,-15.68,138.55,452.94,93.15,-16.69,142.17,452.30,95.21,-28.10,145.89,451.20,91.96,-18.30,149.46,450.48,95.13,-18.11,153.18,449.79,95.04,-16.36,156.87,449.13,80.50,-7.14,160.06,448.88,20.01,-16.08,160.82,448.22,40.78,6.10,162.41,448.49,36.71,-20.02,163.84,447.67,37.54,8.52,165.31,448.04,37.99,-42.03,166.78,446.40,35.82,-19.02,168.19,445.64,42.71,-1.93,169.82,445.58,104.95,-24.59,173.89,444.61,125.46,0.89,178.78,444.64,138.92,0.72,184.17,444.66,148.94,11.80,190.02,445.15,62.79,-49.82,192.47,443.21,86.06,-26.01
